STT,Name,Price,RAM,Hard Drive,Weight,Brand Rank,CPU Rank,GPU Rank,Inch,Demand
191,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),40990000,32,512,1,14,23,15,13.3,1
192,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU,39990000,16,512,1.4,1,24,24,13.3,1
193,Laptop HP Elitebook X360 1040 G9 i7 1255U/16GB/512GB/Touch/Pen/Win11 Pro (6Z982PA),39990000,16,512,1.35,8,20,15,14,1
194,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/120Hz/Win11 (16Z90RS-G.AH54A5),39690000,16,512,1.25,11,36,15,16,1
195,Laptop LG gram UltraSlim 2023 i5 1340P/16GB/512GB/Win11 (15Z90RT-G.AH55A5),38990000,16,512,0.99,11,36,15,15.6,1
196,Laptop MacBook Air 15 inch M2 2023 8CPU/8GB/512GB/10GPU,37990000,8,512,1.51,1,24,24,15.3,1
197,Laptop Apple MacBook Air 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU,37690000,16,512,1.24,1,24,24,13.6,1
198,Laptop Asus Vivobook Pro 15 OLED K6502VU i9 13900H/16GB/512GB/6GB RTX4050/Win11 (MA090W),36890000,16,512,1.8,14,55,7,15.6,1
199,Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),36490000,16,512,1.168,10,13,15,13,1
200,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),35090000,16,512,1,14,23,15,13.3,1
201,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (14Z90R-G.AH75A5),34690000,16,512,0.999,11,34,15,14,1
202,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/90Hz/Win11 (14Z90RS-G.AH54A5),34690000,16,512,0.999,11,36,15,14,1
203,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/512GB/10-core GPU,34590000,8,512,1.4,1,24,24,13.3,1
204,Laptop LG gram 2in1 2023 i5 1340P/16GB/512GB/Touch/Pen/Win11 (14T90R-G.AH55A5),33990000,16,256,1.25,11,36,15,14,1
205,Laptop LG gram 2023 i5 1340P/16GB/256GB/Win11 (14Z90R-G.AH53A5),32490000,16,512,0.999,11,36,15,14,1
206,Laptop Dell Inspiron 14 5430 i7 1360P/16GB/1TB/4GB RTX2050/120Hz/OfficeHS/Win11 (71015633),32490000,16,512,1.531,5,34,11,14,1
207,Laptop HP EliteBook 840 G9 i7 1260P/16GB/512GB/Win11 Pro (76T77PA),32390000,16,512,1.36,8,27,18,14,1
208,Laptop MSI Prestige 13 Evo A13M i7 1360P/16GB/1TB/Balo/Win11 (081VN),31490000,16,256,0.99,12,34,15,13.3,1
209,Laptop Surface Pro 9 i5 1235U/8GB/256GB/Touch/120Hz/Win11,29990000,8,512,0.879,2,19,15,13,1
210,Laptop Lenovo Yoga Duet 7 13ITL6 i5 1135G7/8GB/512GB/Touch/Pen/Win11 (82MA009NVN),28490000,8,512,1.168,10,10,15,13,1
211,Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P/16GB/512GB/Cáp/Túi/Win11 (KM068W),28290000,16,512,1.39,14,34,15,14,1
212,Laptop MSI Summit E14 Flip Evo A12MT i7 1280P/16GB/512GB/Touch/Pen/Túi/Win11 (210VN),28090000,16,512,1.6,12,35,15,14,1
213,Laptop Lenovo Yoga 7 14IRL8 i7 1360P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006BVN),27990000,16,512,1.49,10,34,15,14,1
214,Laptop HP EliteBook 840 G9 i5 1240P/8GB/512GB/Win11 Pro (6Z969PA),27290000,8,512,1.36,8,28,18,14,1
215,Laptop Lenovo ThinkPad E14 Gen 5 i7 1355U/16GB/512GB/Win11 (21JK007XVN),27190000,16,512,1.53,10,23,15,14,1
216,Laptop Lenovo ThinkPad E15 Gen 4 i7 1260P/16GB/512GB/Win11 (21E600CPVN),26690000,16,512,1.7,10,27,15,15.6,1
217,Laptop Lenovo Ideapad 5 Pro 14IAP7 i7 1260P/16GB/512GB/Win11(82SH002SVN),26590000,16,128,1.42,10,27,15,14,1
218,Laptop Surface Pro 9 i5 1235U/8GB/128GB/Touch/120Hz/Win11,26590000,8,512,0.879,2,19,15,13,1
219,Laptop Asus Zenbook 14 Flip OLED UP3404VA i5 1340P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN038W),26490000,16,512,1.5,14,36,15,14,1
220,Laptop Asus Zenbook 14 OLED UX3402ZA i7 1260P/16GB/512GB/Cáp/Win11 (KM221W),25990000,16,512,1.39,14,27,15,14,1
221,Laptop Lenovo ThinkBook 15 G5 IRL i7 1355U/16GB/512GB/15.6:F/Win11 (21JD002AVN),25990000,16,512,1.7,10,23,15,15.6,1
222,Laptop Dell Inspiron 14 5430 i7 1355U/16GB/512GB/OfficeHS/Win11 (20DY3),25490000,16,512,1.56,5,23,15,14,1
223,Laptop Lenovo Yoga 7 14IAL7 i5 1240P/16GB/512GB/Touch/Pen/Win11 (82QE000RVN),25290000,16,512,1.42,10,28,15,14,1
224,Laptop Asus Zenbook 14 OLED UX3402VA i5 1340P/16GB/512GB/Cáp/Túi/Win11 (KM085W),24990000,16,512,1.39,14,36,15,14,1
225,Laptop Lenovo Yoga 7 14IRL8 i5 1340P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006AVN),24990000,16,512,1.49,10,36,15,14,1
226,Laptop Lenovo ThinkPad E16 Gen 1 i7 1360P/16GB/512GB/Win11 (21JN006UVN),24990000,16,512,1.97,10,34,15,16,1
227,Laptop HP Pavilion X360 14 ek1047TU i7 1355U/16GB/512GB/Touch/Pen/Win11 (80R25PA),24790000,16,512,1.53,8,23,15,14,1
228,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/2GB MX550/OfficeHS/Win11 (N3530I716W1),24590000,16,512,1.65,5,23,13,15.6,1
229,Laptop HP Envy X360 13 bf0112TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (7C0N9PA),23990000,16,512,1.34,8,14,15,13.3,1
230,Laptop MSI Summit E14 Evo A12M i7 1280P/16GB/512GB/Túi/Chuột/Win11 (211VN),23290000,16,512,1.6,12,35,15,14,1
231,Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),23190000,16,512,1.69,8,23,15,15.6,1
232,Laptop HP Pavilion X360 14 ek0132TU i7 1255U/16GB/512GB/Touch/Pen/Win11 (7C0W4PA),22990000,16,512,1.51,8,20,15,14,1
233,Laptop Dell Inspiron 16 5630 i5 1335U/8GB/512GB/OfficeHS/Win11 (71020244),22990000,8,512,1.94,5,29,15,16,1
234,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),21990000,16,512,1.74,8,27,15,15.6,1
235,Laptop HP Pavilion 15 eg2034TX i7 1255U/8GB/512GB/2GB MX550/Win11 (6K780PA),21490000,8,512,1.74,8,20,13,15.6,1
236,Laptop HP Pavilion 14 dv2071TU i7 1255U/16GB/512GB/Win11 (7C0W0PA),21490000,16,512,1.41,8,20,15,14,1
237,Laptop Dell Inspiron 15 3530 i7 1355U/8GB/512GB/120Hz/OfficeHS/Win11 (71011775),21290000,8,512,1.66,5,23,18,15.6,1
238,Laptop Asus Vivobook 15 OLED A1505VA i7 13700H/16GB/512GB/Win11 (L1338W),20990000,16,512,1.7,14,48,15,15.6,1
239,Laptop Dell Vostro 3400 i7 1165G7/8GB/512GB/2GB MX330/Office H&S/Win11 (V4I7015W1),20890000,8,512,1.64,5,13,16,14,1
240,Laptop Dell Vostro 5630 i5 1340P/8GB/512GB/OfficeHS/Win11 (i5P085W11GRU),20890000,8,512,1.9,5,36,15,16,1
241,Laptop HP Elitebook 630 G9 i5 1235U/16GB/512GB/Win11 (7K9H3PA),20790000,16,512,1.28,8,19,18,13.3,1
242,Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/2GB MX550/120Hz/OfficeHS/Win11 (71014840),20490000,8,512,1.63,5,29,13,15.6,1
243,Laptop Asus Vivobook 14X OLED S3405VA i5 13500H/16GB/512GB/Win11 (KM072W),19990000,16,512,1.4,14,39,15,14,1
244,Laptop MSI Modern 14 C13M i7 1355U/16GB/512GB/Win11 (607VN),19490000,16,512,1.4,12,23,15,14,1
245,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA),19190000,16,512,1.69,8,29,15,15.6,1
246,Laptop HP Elitebook 630 G9 i5 1235U/8GB/512GB/Win11 (6M143PA),19090000,8,512,1.28,8,19,18,13.3,1
247,Laptop Asus Vivobook 15X OLED S3504VA i5 1340P/16GB/512GB/Win11 (L1226W),18990000,16,512,1.7,14,36,15,15.6,1
248,Laptop HP Probook 450 G9 i5 1235U/8GB/512GB/Win11 (6M0Y9PA),18390000,8,512,1.74,8,19,18,15.6,1
